click_id,banner_id,campaign_id
100000,328,1
100001,357,1
100002,106,1
100003,107,1
100004,391,1
100005,301,1
100006,462,1
100007,213,1
100008,361,1
100009,108,1
100010,282,1
100011,240,1
100012,260,1
100013,339,1
100014,144,1
100015,313,1
100016,368,1
100017,427,1
100018,214,1
100019,413,1
49999,354,1
100000,328,1
100001,357,1
100002,106,1
100003,107,1
100004,391,1
100005,301,1
100006,462,1
100007,213,1
100008,361,1
100009,108,1
100010,282,1
100011,240,1
100012,260,1
100013,339,1
100014,144,1
100015,313,1
100016,368,1
100017,427,1
100018,214,1
100019,413,1
100000,328,1
100001,357,1
100002,106,1
100003,107,1
100004,391,1
100005,301,1
100006,462,1
100007,213,1
100008,361,1
100009,108,1
100010,282,1
100011,240,1
100012,260,1
100013,339,1
100014,144,1
100015,313,1
100016,368,1
100017,427,1
100018,214,1
100019,413,1
49999,354,1
100000,328,1
100001,357,1
100002,106,1
100003,107,1
100004,391,1
100005,301,1
100006,462,1
100007,213,1
100008,361,1
100009,108,1
100010,282,1
100011,240,1
100012,260,1
100013,339,1
100014,144,1
100015,313,1
100016,368,1
100017,427,1
100018,214,1
100019,413,1
